#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 05 18 21 50 231  5.1  8.9 99.00 99.00 99.00 999 1013.7  21.0 999.0 999.0 99.0 99.00
2014 05 18 22 50 232  5.4  8.5 99.00 99.00 99.00 999 1013.8  20.9 999.0 999.0 99.0 99.00
2014 05 18 23 50 227  2.6  5.0  0.01 99.00  8.10 999 1014.0  19.6 999.0 999.0 99.0 99.00
2014 05 19 00 50 219  1.8  3.6  0.01 99.00  8.01 999 1014.4  18.3 999.0 999.0 99.0 99.00
2014 05 19 01 50 184  0.8  1.2  0.02 99.00  8.55 999 1014.6  17.6 999.0 999.0 99.0 99.00
2014 05 19 02 50  48  2.5  4.8  0.01 99.00  7.28 999 1015.8 999.0 999.0 999.0 99.0 99.00
2014 05 19 03 50  32  1.7  2.7  0.01 99.00  7.02 999 1016.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 04 50  35  2.1  4.2  0.01 99.00  9.24 999 1017.1 999.0 999.0 999.0 99.0 99.00
2014 05 19 05 50  59  1.1  2.2  0.01 99.00  8.79 999 1017.3 999.0 999.0 999.0 99.0 99.00
2014 05 19 06 50  14  1.2  2.7 99.00 99.00 99.00 999 1017.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 07 50  45  2.0  3.8 99.00 99.00 99.00 999 1017.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 08 50 109  0.6  2.1  0.01 99.00  8.05 999 1017.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 09 50  33  1.2  2.5  0.01 99.00  7.40 999 1017.1 999.0 999.0 999.0 99.0 99.00
2014 05 19 10 50  43  1.3  2.1 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 11 50  51  1.3  2.4  0.01 99.00  7.46 999 1016.3 999.0 999.0 999.0 99.0 99.00
2014 05 19 12 50  47  1.6  3.2 99.00 99.00 99.00 999 1017.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 13 50  41  1.9  3.4 99.00 99.00 99.00 999 1016.5 999.0 999.0 999.0 99.0 99.00
2014 05 19 14 50  31  2.1  4.2  0.02 99.00  9.75 999 1015.4 999.0 999.0 999.0 99.0 99.00
2014 05 19 15 50  40  2.8  4.4 99.00 99.00 99.00 999 1014.9 999.0 999.0 999.0 99.0 99.00
2014 05 19 16 50  54  1.7  2.8  0.01 99.00  8.37 999 1015.3 999.0 999.0 999.0 99.0 99.00
2014 05 19 17 50  54  1.2  2.4 99.00 99.00 99.00 999 1015.1 999.0 999.0 999.0 99.0 99.00
2014 05 19 18 50  20  2.8  4.5  0.01 99.00  8.93 999 1014.3 999.0 999.0 999.0 99.0 99.00
2014 05 19 19 50  39  2.8  4.8  0.01 99.00  8.16 999 1013.4 999.0 999.0 999.0 99.0 99.00
2014 05 19 20 50  39  3.7  5.2  0.01 99.00  8.77 999 1012.7 999.0 999.0 999.0 99.0 99.00
2014 05 19 21 50  24  2.4  4.4 99.00 99.00 99.00 999 1012.3 999.0 999.0 999.0 99.0 99.00
2014 05 19 22 50  40  3.8  5.3 99.00 99.00 99.00 999 1012.4 999.0 999.0 999.0 99.0 99.00
2014 05 19 23 50  26  1.9  4.0  0.01 99.00  7.97 999 1012.1 999.0 999.0 999.0 99.0 99.00
2014 05 20 00 50  37  2.7  4.3  0.01 99.00  8.26 999 1012.0 999.0 999.0 999.0 99.0 99.00
